club_1,club_2,dif,pj,pg,pe,pp
Patronato,Gimnasia (M),+1,2,1,1,0
Patronato,Quilmes,+1,2,1,1,0
Patronato,San Martin (T),0,1,0,1,0
Platense,River Plate,-68,141,22,29,90
Platense,Racing Club,-34,135,33,35,67
Platense,San Lorenzo,-32,129,29,39,61
Platense,Independiente,-30,128,31,36,61
Platense,Boca Juniors,-29,125,27,42,56
Platense,Velez,-27,123,31,34,58
Platense,Ferro,+6,123,45,39,39
Platense,Estudiantes (LP),-23,119,33,30,56
Platense,Huracan,-11,115,38,28,49
Platense,Gimnasia (LP),-7,114,36,35,43
Platense,Newells,-21,97,20,36,41
Platense,Lanus,+3,90,34,25,31
Platense,Rosario Central,-4,85,27,27,31
Platense,Argentinos,+7,80,28,31,21
Platense,Atlanta,+11,78,30,29,19
Platense,Chacarita,+5,77,30,22,25
Platense,Banfield,+5,75,27,26,22
Platense,Tigre,+9,60,25,19,16
Platense,Quilmes,0,54,21,12,21
Platense,Union,0,52,18,16,18
Platense,Talleres (C),+2,38,14,12,12
Platense,Dep. Español,+3,32,11,13,8
Platense,Colon,+3,30,13,7,10
Platense,Instituto,-1,25,9,6,10
Platense,Racing (C),+1,24,8,9,7
Platense,Estudiantes (BA),+6,22,12,4,6
Platense,Talleres (RdE),+9,18,13,1,4
Platense,Def. de Belgrano,+4,16,6,8,2
Platense,Barracas Central,0,15,5,5,5
Platense,Dep Mandiyu (C),+1,14,4,7,3
Platense,Temperley,0,13,4,5,4
Platense,Belgrano,+2,13,3,9,1
Platense,Gimnasia (J),-3,12,2,5,5
Platense,Argentino (Q),+2,9,4,3,2
Platense,San Martin (T),-4,9,0,5,4
Platense,Almagro,0,8,3,2,3
Platense,All Boys,+1,8,2,5,1
Platense,Nueva Chicago,+3,7,5,0,2
Platense,Sarmiento (J),+1,7,2,4,1
Platense,Sp. Barracas,0,6,2,2,2
Platense,Atl Tucuman,-2,6,1,2,3
Platense,Dep. Armenio,0,6,1,4,1
Platense,Gimnasia (M),-3,6,1,1,4
Platense,Gimnasia (S),0,6,2,2,2
Platense,Chaco For Ever,0,5,2,1,2
Platense,Los Andes,-2,5,0,3,2
Platense,Excursionistas,+3,5,4,0,1
Platense,Guarani (M),+2,4,2,2,0
Platense,Central Cba (SdE),+1,4,1,3,0
Platense,Patronato,-2,4,0,2,2
Platense,San Martin (M),0,4,1,2,1
Platense,Dep. Moron,+2,4,3,0,1
Platense,Aldosivi,-2,4,0,2,2
Platense,Colegiales,0,3,1,1,1
Platense,U. Lanus-Talleres,+1,3,1,2,0
Platense,El Porvenir,+3,3,3,0,0
Platense,Sarmiento (R),+1,2,1,1,0
Platense,San Lorenzo (MdP),+1,2,1,1,0
Platense,Altos Hornos Zapla,+1,2,1,1,0
Platense,Sp. Patria (F),0,2,1,0,1
Platense,U. Atlanta-Arg,+1,2,1,1,0
Platense,Ind Rivadavia,+2,2,2,0,0
Platense,Huracan (SR),+1,2,1,1,0
Platense,Huracan (CR),0,2,1,0,1
Platense,Huracan (C),-1,2,0,1,1
Platense,Santamarina,0,2,1,0,1
Platense,Dep. Roca,+2,2,2,0,0
Platense,Sp. Italiano,+2,2,2,0,0
Platense,Renato Cesarini (R),+1,2,1,1,0
Platense,Cipolletti,+1,2,1,1,0
Platense,Desamparados,-1,1,0,0,1
Quilmes,River Plate,-41,92,15,21,56
Quilmes,Racing Club,-32,79,15,17,47
Quilmes,Velez,-20,73,21,11,41
Quilmes,Estudiantes (LP),-21,73,17,18,38
Quilmes,Independiente,-31,73,11,20,42
Quilmes,San Lorenzo,-18,70,17,18,35
Quilmes,Gimnasia (LP),-13,68,18,19,31
Quilmes,Boca Juniors,-33,66,7,19,40
Quilmes,Lanus,-2,58,21,14,23
Quilmes,Ferro,-8,57,18,13,26
Quilmes,Argentinos,+7,55,20,22,13
Quilmes,Huracan,-16,55,14,11,30
Quilmes,Platense,0,54,21,12,21
Quilmes,Newells,-15,49,10,14,25
Quilmes,Atlanta,+1,46,21,5,20
Quilmes,Tigre,+2,44,19,8,17
Quilmes,Chacarita,-1,41,15,10,16
Quilmes,Banfield,-6,40,13,8,19
Quilmes,Rosario Central,-9,37,9,10,18
Quilmes,Estudiantes (BA),-10,36,9,8,19
Quilmes,Colon,-3,34,9,13,12
Quilmes,Union,-1,29,8,12,9
Quilmes,Arsenal,+1,18,8,3,7
Quilmes,Belgrano,-2,16,4,6,6
Quilmes,Argentino (Q),-1,16,6,3,7
Quilmes,Def. de Belgrano,-2,15,5,3,7
Quilmes,Talleres (RdE),+3,15,6,6,3
Quilmes,Olimpo,-2,15,5,3,7
Quilmes,Barracas Central,-4,14,4,2,8
Quilmes,Godoy Cruz,-1,12,3,5,4
Quilmes,All Boys,-4,12,3,2,7
Quilmes,Talleres (C),-2,12,3,4,5
Quilmes,Nueva Chicago,+4,11,6,3,2
Quilmes,Temperley,+3,11,4,6,1
Quilmes,Los Andes,-2,9,3,1,5
Quilmes,Atl Rafaela,+2,9,2,7,0
Quilmes,Instituto,+2,8,4,2,2
Quilmes,Gimnasia (J),0,8,3,2,3
Quilmes,Almagro,0,7,3,1,3
Quilmes,Sarmiento (J),-2,7,1,3,3
Quilmes,Excursionistas,+1,6,3,1,2
Quilmes,Sp. Barracas,+2,4,2,2,0
Quilmes,Def y Justicia,-1,4,1,1,2
Quilmes,San Martin (M),+1,4,2,1,1
Quilmes,San Telmo,+3,4,3,1,0
Quilmes,Dep. Español,-1,4,1,1,2
Quilmes,San Martin (SJ),-1,4,1,1,2
Quilmes,Central Norte (S),+2,4,3,0,1
Quilmes,Dep. Moron,+3,4,3,1,0
Quilmes,San Martin (T),+1,3,1,2,0
Quilmes,Chaco For Ever,+3,3,3,0,0
Quilmes,Atl Tucuman,+1,3,2,0,1
Quilmes,Aldosivi,+1,2,1,1,0
Quilmes,Patronato,-1,2,0,1,1
Quilmes,Atl. Concepcion (T),-1,2,0,1,1
Quilmes,El Porvenir,+1,2,1,1,0
Quilmes,Alvarado,0,2,0,2,0
Quilmes,Kimberley (MdP),0,2,1,0,1
Quilmes,Cipolletti,0,2,1,0,1
Quilmes,San Lorenzo (MdP),+2,2,2,0,0
Quilmes,Ind Rivadavia,+2,2,2,0,0
Quilmes,Dep Mandiyu (C),0,2,1,0,1
Quilmes,Racing (C),-1,2,0,1,1
Quilmes,Tiro Federal (R),-1,2,0,1,1
Quilmes,Gimnasia (S),0,2,1,0,1
Quilmes,Huracan (TA),+2,2,2,0,0
Quilmes,Colegiales,+1,1,1,0,0
Quilmes,Central Cba (SdE),+1,1,1,0,0
Quilmes,Desamparados,+1,1,1,0,0
Quilmes,Crucero (M),+1,1,1,0,0
Quilmes,Alte Brown,+1,1,1,0,0
Racing (C),Platense,-1,24,7,9,8
Racing (C),Velez,-8,24,4,8,12
Racing (C),Independiente,-4,24,5,10,9
Racing (C),Estudiantes (LP),-3,22,6,7,9
Racing (C),Argentinos,-2,22,3,14,5
Racing (C),Newells,-3,20,7,3,10
Racing (C),Rosario Central,+4,20,10,4,6
Racing (C),Talleres (C),0,20,6,8,6
Racing (C),Union,+2,19,7,7,5
Racing (C),Gimnasia (LP),-6,16,2,6,8
Racing (C),Ferro,-3,16,4,5,7
Racing (C),Instituto,+2,16,7,4,5
Racing (C),River Plate,-6,16,4,2,10
Racing (C),Racing Club,-3,16,4,5,7
Racing (C),San Lorenzo,-4,16,3,6,7
Racing (C),Boca Juniors,-1,16,5,5,6
Racing (C),Huracan,-2,12,3,4,5
Racing (C),Dep. Español,-3,10,2,3,5
Racing (C),Temperley,+1,8,3,3,2
Racing (C),Chaco For Ever,-2,5,1,1,3
Racing (C),Dep. Roca,+1,4,2,1,1
Racing (C),Nueva Chicago,0,4,2,0,2
Racing (C),Renato Cesarini (R),+1,4,2,1,1
Racing (C),Union SV (C),+2,4,2,2,0
Racing (C),Chacarita,+2,4,2,2,0
Racing (C),San Martin (T),+1,4,2,1,1
Racing (C),Dep. Armenio,0,4,1,2,1
Racing (C),Dep Mandiyu (C),-2,4,0,2,2
Racing (C),Banfield,+2,4,3,0,1
Racing (C),Santamarina,0,2,1,0,1
Racing (C),Altos Hornos Zapla,+1,2,1,1,0
Racing (C),Sarmiento (J),+2,2,2,0,0
Racing (C),Sp. Guzman (T),-1,2,0,1,1
Racing (C),Quilmes,+1,2,1,1,0
Racing (C),Atl Tucuman,+2,2,2,0,0
Racing (C),Atlanta,+2,2,2,0,0
Racing (C),Belgrano,0,2,1,0,1
Racing (C),Colon,-1,2,0,1,1
Racing (C),Sp. Italiano,+1,2,1,1,0
Racing (C),Gimnasia (S),0,2,1,0,1
Racing (C),Guarani (M),+2,2,2,0,0
Racing (C),Huracan (SR),+1,2,1,1,0
Racing (C),Juv. Alianza (SJ),-2,2,0,0,2
Racing (C),Juv. Antoniana,+2,2,2,0,0
Racing (C),Gimnasia (J),+1,2,1,1,0
Racing (C),Olimpo,0,2,1,0,1
Racing (C),Atl Ledesma (J),-1,2,0,1,1
Racing Club,Independiente,-22,214,62,68,84
Racing Club,River Plate,-46,205,54,51,100
Racing Club,Estudiantes (LP),+3,190,73,47,70
Racing Club,San Lorenzo,+4,190,72,50,68
Racing Club,Velez,+23,190,75,63,52
Racing Club,Boca Juniors,-29,182,55,43,84
Racing Club,Gimnasia (LP),+24,165,66,57,42
Racing Club,Huracan,+42,160,78,46,36
Racing Club,Newells,+5,155,55,50,50
Racing Club,Rosario Central,+9,145,58,38,49
Racing Club,Ferro,+43,143,70,46,27
Racing Club,Lanus,+33,143,71,34,38
Racing Club,Platense,+34,135,67,35,33
Racing Club,Argentinos,+33,134,62,43,29
Racing Club,Banfield,+23,113,53,30,30
Racing Club,Chacarita,+31,106,55,27,24
Racing Club,Atlanta,+33,104,53,31,20
Racing Club,Tigre,+23,86,45,19,22
Racing Club,Quilmes,+32,79,47,17,15
Racing Club,Colon,+5,79,27,30,22
Racing Club,Union,+5,61,21,24,16
Racing Club,Talleres (C),+4,52,21,14,17
Racing Club,Belgrano,+6,39,13,19,7
Racing Club,Arsenal,+7,32,14,11,7
Racing Club,All Boys,+8,26,14,6,6
Racing Club,Gimnasia (J),+8,26,14,6,6
Racing Club,Estudiantes (BA),+14,26,18,4,4
Racing Club,Dep. Español,-1,25,8,8,9
Racing Club,Godoy Cruz,+7,25,14,4,7
Racing Club,Instituto,+6,22,11,6,5
Racing Club,Olimpo,+4,20,9,6,5
Racing Club,San Martin (T),+5,19,10,4,5
Racing Club,Talleres (RdE),+11,19,13,4,2
Racing Club,Temperley,+2,17,9,1,7
Racing Club,Def. de Belgrano,+10,16,12,2,2
Racing Club,Racing (C),+3,16,7,5,4
Racing Club,Barracas Central,+9,16,11,3,2
Racing Club,Dep Mandiyu (C),+3,16,7,5,4
Racing Club,Atl Tucuman,+3,14,7,3,4
Racing Club,Nueva Chicago,+5,13,7,4,2
Racing Club,Atl Rafaela,-1,12,4,3,5
Racing Club,San Martin (SJ),+6,11,7,3,1
Racing Club,Def y Justicia,-2,10,1,6,3
Racing Club,Los Andes,+4,10,5,4,1
Racing Club,Almagro,+3,10,5,3,2
Racing Club,Sarmiento (J),+4,9,5,3,1
Racing Club,Aldosivi,+4,9,6,1,2
Racing Club,Argentino (Q),+6,9,7,1,1
Racing Club,Sp. Barracas,+5,6,5,1,0
Racing Club,Central Cba (SdE),+3,6,3,3,0
Racing Club,Patronato,+5,6,5,1,0
Racing Club,Gimnasia (M),+2,6,3,2,1
Racing Club,Excursionistas,+4,5,4,1,0
Racing Club,Juv. Antoniana,+4,5,4,1,0
Racing Club,Chaco For Ever,0,5,1,3,1
Racing Club,Atl Ledesma (J),+3,4,3,1,0
Racing Club,Dep. Armenio,+1,4,1,3,0
Racing Club,Gimnasia (S),+2,4,2,2,0
Racing Club,Renato Cesarini (R),-2,4,1,0,3
Racing Club,Central Cba (R),+2,4,3,0,1
Racing Club,Altos Hornos Zapla,+4,4,4,0,0
Racing Club,San Telmo,+2,3,2,1,0
Racing Club,San Martin (M),0,3,1,1,1
Racing Club,U. Lanus-Talleres,+1,3,2,0,1
Racing Club,San Lorenzo (MdP),-1,3,0,2,1
Racing Club,Guarani (M),+1,3,1,2,0
Racing Club,El Porvenir,0,3,1,1,1
Racing Club,Ind Rivadavia,+2,3,2,1,0
Racing Club,Bartolome Mitre (M),+2,2,2,0,0
Racing Club,Colegiales,+1,2,1,1,0
Racing Club,Sarmiento (R),0,2,1,0,1
Racing Club,Atl. Concepcion (T),+1,2,1,1,0
Racing Club,Huracan (TA),+1,2,1,1,0
Racing Club,U. Atlanta-Arg,+2,2,2,0,0
Racing Club,Loma Negra,0,2,1,0,1
Racing Club,Huracan (IW),+1,2,1,1,0
Racing Club,Huracan (C),+2,2,2,0,0
Racing Club,Desamparados,0,2,1,0,1
Racing Club,Dep. Roca,-2,2,0,0,2
Racing Club,Dep. Moron,+2,2,2,0,0
Racing Club,Sp. Italiano,+1,2,1,1,0
Racing Club,Atl Regina (RN),+1,2,1,1,0
Racing Club,Tiro Federal (R),+2,2,2,0,0
Racing Club,Crucero (M),+1,1,1,0,0
Racing Club,Cipolletti,+1,1,1,0,0
Renato Cesarini (R),Racing Club,+2,4,3,0,1
Renato Cesarini (R),Racing (C),-1,4,1,1,2
Renato Cesarini (R),Atl. Concepcion (T),+1,2,1,1,0
Renato Cesarini (R),San Martin (T),-2,2,0,0,2
Renato Cesarini (R),Velez,+1,2,1,1,0
Renato Cesarini (R),Platense,-1,2,0,1,1
Renato Cesarini (R),Newells,-2,2,0,0,2
Renato Cesarini (R),Loma Negra,-2,2,0,0,2
Renato Cesarini (R),Huracan,-2,2,0,0,2
Renato Cesarini (R),Guarani (M),0,2,0,2,0
Renato Cesarini (R),Dep. Roca,+1,2,1,1,0
Renato Cesarini (R),Union,-1,2,0,1,1
River Plate,Boca Juniors,-7,214,71,65,78
River Plate,San Lorenzo,+24,210,81,72,57
River Plate,Racing Club,+46,205,100,51,54
River Plate,Velez,+47,198,97,51,50
River Plate,Independiente,+25,195,83,54,58
River Plate,Estudiantes (LP),+57,182,98,43,41
River Plate,Gimnasia (LP),+53,179,94,44,41
River Plate,Huracan,+49,168,83,51,34
River Plate,Newells,+36,161,78,41,42
River Plate,Rosario Central,+47,153,78,44,31
River Plate,Ferro,+60,146,86,34,26
River Plate,Platense,+68,141,90,29,22
River Plate,Lanus,+52,137,79,31,27
River Plate,Argentinos,+44,136,72,36,28
River Plate,Banfield,+47,110,66,25,19
River Plate,Chacarita,+46,109,64,27,18
River Plate,Atlanta,+49,102,65,21,16
River Plate,Quilmes,+41,92,56,21,15
River Plate,Tigre,+43,84,55,17,12
River Plate,Colon,+20,75,37,21,17
River Plate,Union,+16,70,31,24,15
River Plate,Talleres (C),+13,60,30,13,17
River Plate,Belgrano,+15,38,23,7,8
River Plate,Dep. Español,+16,32,21,6,5
River Plate,Instituto,+9,32,16,9,7
River Plate,Arsenal,+8,31,14,11,6
River Plate,Estudiantes (BA),+14,29,19,5,5
River Plate,Gimnasia (J),+13,25,16,6,3
River Plate,Godoy Cruz,+2,22,10,4,8
River Plate,San Martin (T),+15,21,16,4,1
River Plate,All Boys,+8,21,13,3,5
River Plate,Olimpo,+7,19,11,4,4
River Plate,Talleres (RdE),+13,19,15,2,2
River Plate,Temperley,+8,18,11,4,3
River Plate,Nueva Chicago,0,17,5,7,5
River Plate,Dep Mandiyu (C),+8,16,9,6,1
River Plate,Racing (C),+6,16,10,2,4
River Plate,Def. de Belgrano,+9,16,11,3,2
River Plate,Barracas Central,+5,15,8,4,3
River Plate,Sarmiento (J),+7,14,9,3,2
River Plate,Argentino (Q),+5,13,8,2,3
River Plate,Los Andes,+6,12,8,2,2
River Plate,Almagro,+5,10,6,3,1
River Plate,Atl Tucuman,+4,10,4,6,0
River Plate,Def y Justicia,0,9,3,3,3
River Plate,Atl Rafaela,+6,9,6,3,0
River Plate,San Martin (SJ),+3,8,5,1,2
River Plate,San Martin (M),+3,7,5,0,2
River Plate,Cipolletti,+7,7,7,0,0
River Plate,Chaco For Ever,+6,7,6,1,0
River Plate,Patronato,+1,7,4,0,3
River Plate,Sp. Barracas,+3,7,4,2,1
River Plate,Aldosivi,+5,6,5,1,0
River Plate,Gimnasia (S),+4,6,4,2,0
River Plate,Central Cba (SdE),+6,6,6,0,0
River Plate,Excursionistas,+2,5,3,1,1
River Plate,Ind Rivadavia,+1,5,3,0,2
River Plate,Gimnasia (M),+1,4,2,1,1
River Plate,Central Cba (R),+2,4,3,0,1
River Plate,Loma Negra,+1,4,1,3,0
River Plate,San Lorenzo (MdP),+2,4,3,0,1
River Plate,Dep. Armenio,+1,4,2,1,1
River Plate,El Porvenir,+3,3,3,0,0
River Plate,U. Lanus-Talleres,+3,3,3,0,0
River Plate,Kimberley (MdP),0,3,1,1,1
River Plate,U. Atlanta-Arg,+2,2,2,0,0
River Plate,San Telmo,+2,2,2,0,0
River Plate,Sarmiento (R),+1,2,1,1,0
River Plate,Huracan (C),+2,2,2,0,0
River Plate,Colegiales,+1,2,1,1,0
River Plate,Altos Hornos Zapla,+1,2,1,1,0
River Plate,Alvarado,+2,2,2,0,0
River Plate,Guarani (M),+1,2,1,1,0
River Plate,Huracan (SR),+1,2,1,1,0
River Plate,Huracan (TA),+1,2,1,1,0
River Plate,Dep. Moron,+2,2,2,0,0
River Plate,Estudiantes (RC),+1,2,1,1,0
River Plate,Sp. Italiano,+2,2,2,0,0
River Plate,Jorge Newbery (J),0,2,1,0,1
River Plate,Juv. Antoniana,+1,2,1,1,0
River Plate,Atl. Uruguay,+2,2,2,0,0
River Plate,Tiro Federal (R),+2,2,2,0,0
River Plate,Atl Ledesma (J),+2,2,2,0,0
River Plate,Andino (LR),0,2,1,0,1
River Plate,Don Orione (CH),+1,1,1,0,0
River Plate,Desamparados,+1,1,1,0,0
River Plate,Huracan (IW),+1,1,1,0,0
River Plate,Bartolome Mitre (M),+1,1,1,0,0
River Plate,Crucero (M),+1,1,1,0,0
River Plate,Independiente (T),+1,1,1,0,0
Rosario Central,Newells,+10,175,53,79,43
Rosario Central,Independiente,-9,159,51,48,60
Rosario Central,Boca Juniors,-20,158,49,40,69
Rosario Central,Velez,-11,154,46,51,57
Rosario Central,San Lorenzo,-14,153,44,51,58
Rosario Central,River Plate,-47,153,31,44,78
Rosario Central,Estudiantes (LP),-2,151,51,47,53
Rosario Central,Racing Club,-9,145,49,38,58
Rosario Central,Gimnasia (LP),+16,133,55,39,39
Rosario Central,Huracan,-5,129,44,36,49
Rosario Central,Argentinos,+6,106,41,30,35
Rosario Central,Lanus,0,103,36,31,36
Rosario Central,Ferro,0,101,38,25,38
Rosario Central,Banfield,+10,95,36,33,26
Rosario Central,Platense,+4,85,31,27,27
Rosario Central,Chacarita,-4,84,31,18,35
Rosario Central,Atlanta,0,73,28,17,28
Rosario Central,Colon,-4,71,21,25,25
Rosario Central,Union,-7,58,15,21,22
Rosario Central,Talleres (C),-3,51,16,16,19
Rosario Central,Tigre,-3,46,17,9,20
Rosario Central,Belgrano,+14,41,19,17,5
Rosario Central,Quilmes,+9,37,18,10,9
Rosario Central,Gimnasia (J),+3,30,12,9,9
Rosario Central,Arsenal,0,27,11,5,11
Rosario Central,Dep. Español,+4,26,9,12,5
Rosario Central,Instituto,+7,25,9,14,2
Rosario Central,All Boys,+5,24,11,7,6
Rosario Central,Racing (C),-4,20,6,4,10
Rosario Central,Godoy Cruz,-1,18,7,3,8
Rosario Central,Olimpo,+2,17,5,9,3
Rosario Central,Temperley,+4,16,7,6,3
Rosario Central,Dep Mandiyu (C),0,14,5,4,5
Rosario Central,Los Andes,+6,14,7,6,1
Rosario Central,Atl Tucuman,+2,13,4,7,2
Rosario Central,Nueva Chicago,+7,13,9,2,2
Rosario Central,San Martin (T),+8,12,9,2,1
Rosario Central,Sarmiento (J),+2,10,4,4,2
Rosario Central,San Martin (SJ),+4,10,5,4,1
Rosario Central,Def y Justicia,-2,9,2,3,4
Rosario Central,Chaco For Ever,+7,8,7,1,0
Rosario Central,Aldosivi,+2,8,4,2,2
Rosario Central,Central Norte (S),+7,8,7,1,0
Rosario Central,Atl Rafaela,+1,7,3,2,2
Rosario Central,Patronato,-1,7,2,2,3
Rosario Central,Central Cba (SdE),+3,6,4,1,1
Rosario Central,Gimnasia (M),+2,5,3,1,1
Rosario Central,Central Cba (R),-1,4,1,1,2
Rosario Central,San Martin (M),+2,4,3,0,1
Rosario Central,Almagro,+1,4,2,1,1
Rosario Central,Cipolletti,+2,4,3,0,1
Rosario Central,Dep. Armenio,+2,4,2,2,0
Rosario Central,Gimnasia (S),+1,4,2,1,1
Rosario Central,Desamparados,+3,3,3,0,0
Rosario Central,Kimberley (MdP),+2,3,2,1,0
Rosario Central,San Telmo,+1,2,1,1,0
Rosario Central,Huracan (TA),0,2,0,2,0
Rosario Central,San Lorenzo (MdP),+2,2,2,0,0
Rosario Central,Sp. Patria (F),-1,2,0,1,1
Rosario Central,Huracan (C),0,2,0,2,0
Rosario Central,Huracan (IW),+2,2,2,0,0
Rosario Central,Tiro Federal (R),0,2,1,0,1
Rosario Central,Ind Rivadavia,+2,2,2,0,0
Rosario Central,Mariano Moreno (J),+2,2,2,0,0
Rosario Central,Argentino (Q),+1,2,1,1,0
Rosario Central,Altos Hornos Zapla,0,2,0,2,0
Rosario Central,Sp. Italiano,+2,2,2,0,0
Rosario Central,Dep. Moron,0,2,1,0,1
Rosario Central,Estudiantes (BA),0,2,1,0,1
Rosario Central,Puerto Comercial (IW),+2,2,2,0,0
Rosario Central,Juv. Antoniana,+1,2,1,1,0
Rosario Central,Jorge Newbery (J),+2,2,2,0,0
Rosario Central,Dep. Roca,-1,2,0,1,1
Rosario Central,Atl Santa Rosa,+2,2,2,0,0
Rosario Central,Guarani (M),+1,1,1,0,0
Rosario Central,Bartolome Mitre (M),-1,1,0,0,1
Rosario Central,Crucero (M),+1,1,1,0,0
Rosario Central,Independiente (T),+1,1,1,0,0
San Lorenzo,River Plate,-24,210,57,72,81
San Lorenzo,Boca Juniors,+4,202,77,52,73
San Lorenzo,Independiente,-6,197,68,55,74
San Lorenzo,Racing Club,-4,190,68,50,72
San Lorenzo,Velez,+32,188,80,60,48
San Lorenzo,Estudiantes (LP),+20,185,76,53,56
San Lorenzo,Huracan,+39,173,83,46,44
San Lorenzo,Gimnasia (LP),+42,172,85,44,43
San Lorenzo,Newells,+13,158,61,49,48
San Lorenzo,Rosario Central,+14,153,58,51,44
San Lorenzo,Ferro,+45,151,76,44,31
San Lorenzo,Lanus,+19,144,63,37,44
San Lorenzo,Argentinos,+34,131,66,33,32
San Lorenzo,Platense,+32,129,61,39,29
San Lorenzo,Chacarita,+43,117,67,26,24
San Lorenzo,Banfield,+16,109,47,31,31
San Lorenzo,Atlanta,+42,104,59,28,17
San Lorenzo,Colon,+8,84,33,26,25
San Lorenzo,Tigre,+28,84,48,16,20
San Lorenzo,Quilmes,+18,70,35,18,17
San Lorenzo,Union,+5,63,26,16,21
San Lorenzo,Talleres (C),+17,54,27,17,10
San Lorenzo,Belgrano,+15,34,18,13,3
San Lorenzo,Arsenal,+6,33,15,9,9
San Lorenzo,Instituto,+5,32,13,11,8
San Lorenzo,Dep. Español,+1,28,11,7,10
San Lorenzo,Godoy Cruz,+6,26,12,8,6
San Lorenzo,Estudiantes (BA),+10,22,14,4,4
San Lorenzo,Olimpo,+6,21,11,5,5
San Lorenzo,All Boys,+11,21,13,6,2
San Lorenzo,Gimnasia (J),+7,21,12,4,5
San Lorenzo,San Martin (T),+8,20,10,8,2
San Lorenzo,Temperley,+9,20,13,3,4
San Lorenzo,Talleres (RdE),+7,18,11,3,4
San Lorenzo,Dep Mandiyu (C),0,18,5,8,5
San Lorenzo,Def. de Belgrano,+13,17,15,0,2
San Lorenzo,Barracas Central,+9,16,11,3,2
San Lorenzo,Racing (C),+4,16,7,6,3
San Lorenzo,Atl Tucuman,+3,14,6,5,3
San Lorenzo,Nueva Chicago,+6,11,7,3,1
San Lorenzo,Atl Rafaela,+1,11,4,4,3
San Lorenzo,San Martin (SJ),+2,10,5,2,3
San Lorenzo,Aldosivi,+3,10,6,1,3
San Lorenzo,Argentino (Q),+9,10,9,1,0
San Lorenzo,Almagro,+4,9,6,1,2
San Lorenzo,Def y Justicia,+3,9,5,2,2
San Lorenzo,Los Andes,+5,8,6,1,1
San Lorenzo,Sarmiento (J),+5,8,6,1,1
San Lorenzo,San Lorenzo (MdP),+1,8,4,1,3
San Lorenzo,Patronato,+2,7,3,3,1
San Lorenzo,Sp. Barracas,0,7,2,3,2
San Lorenzo,Chaco For Ever,+2,7,4,1,2
San Lorenzo,Central Cba (SdE),+3,6,4,1,1
San Lorenzo,Excursionistas,+5,6,5,1,0
San Lorenzo,San Martin (M),+2,6,4,0,2
San Lorenzo,Gimnasia (M),0,5,2,1,2
San Lorenzo,Ind Rivadavia,+2,5,2,3,0
San Lorenzo,Cipolletti,+2,5,3,1,1
San Lorenzo,Central Cba (R),+4,4,4,0,0
San Lorenzo,Circulo Dep. (O),+3,4,3,1,0
San Lorenzo,Dep. Armenio,+2,4,2,2,0
San Lorenzo,Gimnasia (S),+3,4,3,1,0
San Lorenzo,Guarani (M),+1,3,2,0,1
San Lorenzo,Juv. Antoniana,+2,3,2,1,0
San Lorenzo,Huracan (LH),-1,3,0,2,1
San Lorenzo,U. Lanus-Talleres,-1,3,1,0,2
San Lorenzo,Tiro Federal (R),+2,2,2,0,0
San Lorenzo,Sp. Italiano,0,2,1,0,1
San Lorenzo,El Porvenir,+2,2,2,0,0
San Lorenzo,Huracan (IW),+2,2,2,0,0
San Lorenzo,Juv. Alianza (SJ),0,2,1,0,1
San Lorenzo,Huracan (CR),+1,2,1,1,0
San Lorenzo,Central Norte (S),+1,2,1,1,0
San Lorenzo,Huracan (C),+2,2,2,0,0
San Lorenzo,Alvarado,-1,2,0,1,1
San Lorenzo,Atl Santa Rosa,+2,2,2,0,0
San Lorenzo,Atl Regina (RN),+2,2,2,0,0
San Lorenzo,Union (CH),+1,2,1,1,0
San Lorenzo,Huracan (TA),+1,2,1,1,0
San Lorenzo,U. Atlanta-Arg,+2,2,2,0,0
San Lorenzo,Independiente (T),+1,1,1,0,0
San Lorenzo,Colegiales,+1,1,1,0,0
San Lorenzo,Crucero (M),+1,1,1,0,0
San Lorenzo,Bartolome Mitre (M),+1,1,1,0,0
San Lorenzo,Desamparados,+1,1,1,0,0
San Lorenzo (MdP),San Martin (M),-2,8,2,2,4
San Lorenzo (MdP),San Lorenzo,-1,8,3,1,4
San Lorenzo (MdP),Argentinos,-7,8,0,1,7
San Lorenzo (MdP),Union,-4,7,1,1,5
San Lorenzo (MdP),Independiente,-4,7,0,3,4
San Lorenzo (MdP),Velez,-4,6,0,2,4
San Lorenzo (MdP),Boca Juniors,-4,6,1,0,5
San Lorenzo (MdP),Estudiantes (LP),-2,5,1,1,3
San Lorenzo (MdP),Ferro,-4,5,0,1,4
San Lorenzo (MdP),Newells,-3,5,1,0,4
San Lorenzo (MdP),Huracan,-3,5,1,0,4
San Lorenzo (MdP),Talleres (C),-3,5,1,0,4
San Lorenzo (MdP),Chacarita,-3,4,0,1,3
San Lorenzo (MdP),Huracan (CR),-1,4,1,1,2
San Lorenzo (MdP),Atl Tucuman,0,4,2,0,2
San Lorenzo (MdP),River Plate,-2,4,1,0,3
San Lorenzo (MdP),Aldosivi,-2,4,0,2,2
San Lorenzo (MdP),Instituto,-2,3,0,1,2
San Lorenzo (MdP),Lanus,+2,3,2,1,0
San Lorenzo (MdP),Racing Club,+1,3,1,2,0
San Lorenzo (MdP),San Martin (T),0,3,1,1,1
San Lorenzo (MdP),Chaco For Ever,-2,3,0,1,2
San Lorenzo (MdP),Cipolletti,-2,3,0,1,2
