club_1,club_2,dif,pj,pg,pe,pp
San Lorenzo,Independiente,+2,19,9,3,7
San Lorenzo,Atlanta,+14,18,14,4,0
San Lorenzo,Ferro,+8,18,11,4,3
San Lorenzo,Tigre,+4,18,9,4,5
San Lorenzo,Racing Club,-2,18,7,2,9
San Lorenzo,Platense,0,18,7,4,7
San Lorenzo,Estudiantes (BA),+9,18,12,3,3
San Lorenzo,Def. de Belgrano,+13,17,15,0,2
San Lorenzo,Gimnasia (LP),+2,16,7,4,5
San Lorenzo,Quilmes,+8,16,10,4,2
San Lorenzo,Velez,+8,15,9,5,1
San Lorenzo,Banfield,+4,14,7,4,3
San Lorenzo,Barracas Central,+11,14,11,3,0
San Lorenzo,Lanus,+8,12,9,2,1
San Lorenzo,Boca Juniors,-7,11,1,2,8
San Lorenzo,Estudiantes (LP),0,10,5,0,5
San Lorenzo,Argentino (Q),+7,8,7,1,0
San Lorenzo,Huracan,+5,7,5,2,0
San Lorenzo,Sp. Barracas,0,7,2,3,2
San Lorenzo,Excursionistas,+5,6,5,1,0
San Lorenzo,Argentinos,+2,4,3,0,1
San Lorenzo,Talleres (RdE),0,4,1,2,1
San Lorenzo,Chacarita,0,4,1,2,1
San Lorenzo,Almagro,+1,3,2,0,1
San Lorenzo,El Porvenir,+2,2,2,0,0
San Lorenzo,Colegiales,+1,1,1,0,0
Talleres (RdE),Estudiantes (BA),+2,6,4,0,2
Talleres (RdE),Racing Club,-1,5,1,2,2
Talleres (RdE),Platense,-2,5,1,1,3
Talleres (RdE),Lanus,0,5,2,1,2
Talleres (RdE),Tigre,-1,5,1,2,2
Talleres (RdE),Gimnasia (LP),-2,5,0,3,2
Talleres (RdE),Banfield,0,5,1,3,1
Talleres (RdE),Atlanta,+4,5,4,1,0
Talleres (RdE),River Plate,-1,5,2,0,3
Talleres (RdE),Barracas Central,+1,4,2,1,1
Talleres (RdE),Velez,-2,4,1,0,3
Talleres (RdE),Def. de Belgrano,+1,4,2,1,1
Talleres (RdE),Excursionistas,+1,4,2,1,1
Talleres (RdE),San Lorenzo,0,4,1,2,1
Talleres (RdE),Almagro,-1,4,1,1,2
Talleres (RdE),Estudiantes (LP),-1,4,1,1,2
Talleres (RdE),Ferro,+2,4,3,0,1
Talleres (RdE),Huracan,-3,4,0,1,3
Talleres (RdE),Independiente,-4,4,0,0,4
Talleres (RdE),Quilmes,-4,4,0,0,4
Talleres (RdE),Argentino (Q),+2,3,2,1,0
Talleres (RdE),Chacarita,+1,3,1,2,0
Talleres (RdE),El Porvenir,+2,3,2,1,0
Talleres (RdE),Boca Juniors,-1,3,1,0,2
Talleres (RdE),Argentinos,-1,3,0,2,1
Talleres (RdE),Sp. Barracas,-1,3,0,2,1
Talleres (RdE),Colegiales,+1,2,1,1,0
Temperley,All Boys,+1,4,2,1,1
Temperley,Nueva Chicago,-4,4,0,0,4
Temperley,El Porvenir,+1,4,2,1,1
Temperley,Argentinos,+2,4,3,0,1
Temperley,Huracan,-1,4,1,1,2
Temperley,Sp. Barracas,0,3,1,1,1
Temperley,Dock Sud,0,3,1,1,1
Temperley,Argentino (Q),-1,3,1,0,2
Temperley,Boca Juniors,+1,2,1,1,0
Temperley,Estudiantes (LP),-1,1,0,0,1
Temperley,Colegiales,+1,1,1,0,0
Temperley,Chacarita,+1,1,1,0,0
Tigre,Atlanta,+5,21,10,6,5
Tigre,Independiente,-8,20,4,4,12
Tigre,Racing Club,-9,19,4,2,13
Tigre,River Plate,-6,19,5,3,11
Tigre,Estudiantes (BA),+9,19,12,4,3
Tigre,Platense,0,19,6,7,6
Tigre,Gimnasia (LP),-7,19,4,4,11
Tigre,San Lorenzo,-4,18,5,4,9
Tigre,Def. de Belgrano,-5,18,3,7,8
Tigre,Ferro,+6,17,11,1,5
Tigre,Banfield,+2,15,6,5,4
Tigre,Quilmes,+3,15,8,2,5
Tigre,Velez,0,14,4,6,4
Tigre,Barracas Central,-2,13,4,3,6
Tigre,Lanus,-2,13,4,3,6
Tigre,Estudiantes (LP),-10,13,1,1,11
Tigre,Argentino (Q),-2,10,4,0,6
Tigre,Huracan,-8,8,0,0,8
Tigre,Boca Juniors,-3,7,2,0,5
Tigre,Sp. Barracas,-4,6,1,0,5
Tigre,Talleres (RdE),+1,5,2,2,1
Tigre,Excursionistas,+4,5,4,1,0
Tigre,Almagro,+3,4,3,1,0
Tigre,Argentinos,0,3,1,1,1
Tigre,Chacarita,-2,3,0,1,2
Tigre,El Porvenir,+2,3,2,1,0
Tigre,Colegiales,-1,2,0,1,1
Velez,San Lorenzo,-8,15,1,5,9
Velez,Independiente,-6,15,3,3,9
Velez,Def. de Belgrano,+1,15,6,4,5
Velez,Atlanta,+5,14,7,5,2
Velez,Tigre,0,14,4,6,4
Velez,Estudiantes (BA),+5,14,7,5,2
Velez,Ferro,+3,14,6,5,3
Velez,Gimnasia (LP),-3,14,3,5,6
Velez,River Plate,-9,14,0,5,9
Velez,Barracas Central,+4,14,7,4,3
Velez,Racing Club,-10,14,2,0,12
Velez,Quilmes,+3,14,8,1,5
Velez,Platense,+2,14,6,4,4
Velez,Lanus,-1,12,4,3,5
Velez,Banfield,+1,11,4,4,3
Velez,Excursionistas,+1,6,3,1,2
Velez,Estudiantes (LP),-3,6,1,1,4
Velez,Sp. Barracas,+2,5,3,1,1
Velez,Chacarita,-2,4,1,0,3
Velez,Talleres (RdE),+2,4,3,0,1
Velez,Argentino (Q),+2,4,2,2,0
Velez,Argentinos,+2,4,3,0,1
Velez,Boca Juniors,-4,4,0,0,4
Velez,Almagro,+2,3,2,1,0
Velez,Huracan,-1,3,0,2,1
Velez,El Porvenir,0,2,1,0,1
Velez,Colegiales,+1,1,1,0,0
